DateTime,Entries,UniqueIPs
1613047924,6099,6572
1613048524,6104,6579
1613049724,6077,6538
1613050324,6087,6549
1613051523,6100,6567
1613052123,6105,6568
1613053323,6103,6574
1613054524,6119,6590
1613055123,6083,6553
1613055724,6079,6552
1613056323,6084,6562
1613056923,6084,6561
1613057524,6115,6593
1613058123,6110,6588
1613059323,6096,6570
1613059924,6128,6602
1613060523,6137,6621
1613061724,6095,6575
1613062924,6109,6591
1613063523,6082,6563
1613064124,6085,6562
1613064724,6100,6578
1613065324,6085,6565
1613065923,6081,6557
1613067124,6086,6559
1613067724,6095,6570
1613068324,6096,6569
1613069523,6108,6577
1613070123,6138,6609
1613070723,6123,6595
1613071324,6116,6588
1613072524,6112,6584
1613073724,6128,6602
1613074324,6132,6606
1613075525,6139,6611
1613076124,6134,6606
1613077323,6155,6630
1613078523,6134,6604
1613079723,6132,6600
1613080324,6142,6611
1613080923,6168,6637
1613082124,6129,6592
1613082724,6109,6569
1613083323,6136,6597
1613083923,6117,6578
1613085124,6128,6593
1613085723,6132,6592
1613086924,6147,6605
1613088124,6146,6605
1613088723,6166,6626
1613089923,6148,6607
1613090524,6180,6643
1613091724,6162,6625
1613092323,6162,6627
1613093525,6159,6623
1613094123,6145,6604
1613095324,6161,6620
1613095924,6174,6632
1613096524,6181,6642
1613097724,6192,6651
1613098324,6165,6624
1613099523,6174,6631
1613100123,6172,6627
1613101323,6163,6612
1613102524,6184,6647
1613103723,6170,6638
1613104924,6168,6628
1613105523,6166,6623
1613107324,6181,6639
1613108524,6182,6640
1613109724,6190,6644
1613110324,6229,6689
1613110924,6238,6701
1613112124,6257,6726
1613112724,6265,6729
1613113924,6275,6741
1613114524,6291,6761
1613115724,6279,6740
1613116924,6297,6760
1613117524,6307,6769
1613118124,6303,6764
1613118725,6299,6758
1613119324,6309,6766
1613120523,6319,6776
1613121124,6326,6785
1613121724,6320,6777
1613122924,6312,6775
1613123523,6317,6780
1613124124,6304,6767
1613125324,6263,6721
1613126524,6258,6715
1613127123,6274,6736
1613127724,6281,6743
1613128324,6296,6753
1613128924,6296,6751
1613130123,6309,6767
1613130723,6320,6779
1613131324,6320,6769
1613131924,6343,6794
1613132524,6339,6789
1613133724,6361,6812
1613134323,6359,6812
1613134923,6368,6822
1613136123,6337,6793
1613136725,6362,6818
1613137923,6346,6802
1613138524,6350,6801
1613139724,6356,6808
1613140324,6367,6821
1613140923,6372,6829
1613141523,6375,6832
1613142723,6384,6837
1613143324,6323,6761
