DateTime,AddedIPs,RemovedIPs
1612400912,8,9
1612402861,17,13
1612404733,5,20
1612406657,10,12
1612408633,19,9
1612410500,7,11
1612412705,10,14
1612414584,13,11
1612416542,21,11
1612418495,13,12
1612420342,16,9
1612422322,15,16
1612424178,15,13
1612426098,20,19
1612428066,16,20
1612429965,25,15
1612431881,28,0
1612433835,11,12
1612435717,21,0
1612438574,6,34
1612440502,19,18
1612442461,10,0
1612444359,15,25
1612446271,15,21
1612448214,19,19
1612450368,13,10
1612452274,21,0
1612454213,7,20
1612456161,8,24
1612458068,17,24
1612459942,11,18
1612461916,18,0
1612463786,10,11
1612465959,10,17
1612467869,9,7
1612470782,15,26
1612472676,15,16
1612474589,12,12
1612476554,19,16
1612481319,24,24
1612483258,21,9
1612485175,9,13
1612487071,12,7
1612488990,14,15
1612491198,12,17
1612493068,19,11
1612495015,16,0
1612496936,16,10
1612498877,17,14
1612501708,16,14
1612503622,16,12
1612505598,24,15
1612507458,20,23
1612509380,20,17
1612511333,18,11
1612513213,21,17
1612515133,25,10
1612517150,21,13
1612518982,16,0
1612523069,19,18
1612525027,17,10
1612526896,13,6
1612530784,19,14
1612532677,11,17
1612534592,19,18
1612536533,18,17
1612538460,9,20
1612543227,16,36
1612545178,11,17
1612547084,13,0
1612550944,14,37
1612552843,8,16
1612554766,18,9
1612556694,10,0
1612558607,20,10
1612560744,12,15
1612562699,15,6
1612564613,12,9
1612566524,21,0
1612568435,14,8
1612570389,13,12
1612574187,13,19
1612576166,20,7
1612579024,14,13
1612580910,10,13
1612582827,21,16
1612584778,16,0
1612586689,19,16
1612589552,15,34
1612591472,16,27
1612593430,21,12
1612595291,19,0
1612597219,16,14
1612599163,14,17
1612601052,11,13
1612602984,14,19
1612604926,19,0
1612606820,13,12
1612609980,14,32
1612613786,22,30
1612615739,14,6
1612617641,19,0
1612619546,16,20
1612621485,19,12
1612623388,17,15
1612625324,16,10
1612628178,18,13
1612631102,11,36
1612633039,14,17
1612634915,7,14
1612636823,15,0
1612639733,16,30
1612641720,14,15
1612643561,13,0
1612646437,15,0
1612648388,12,10
1612650276,17,14
1612652178,19,13
1612654142,16,0
1612656061,16,11
1612658915,14,27
1612660837,17,17
1612663043,9,12
1612664920,15,13
1612666898,22,9
1612668781,17,9
1612670670,7,18
1612674768,19,23
1612676714,10,21
1612678595,13,0
1612680498,20,13
1612682479,23,18
1612684339,15,14
1612687233,15,13
1612689176,18,18
1612691067,15,14
1612693002,4,11
1612694968,22,0
1612696846,25,12
1612698752,18,18
1612700709,18,17
1612703547,11,31
1612705477,12,14
1612707672,16,23
1612709553,10,13
1612711484,13,17
1612713389,19,13
1612715344,14,13
1612720125,20,21
1612722098,19,0
1612723987,13,16
1612725860,15,15
1612727800,10,13
1612729749,14,5
1612732610,16,11
1612734504,11,21
1612736422,16,12
1612738374,16,11
1612740260,17,14
1612742180,12,11
1612744131,15,0
1612746039,20,8
1612747962,14,14
1612752790,17,48
1612754671,19,11
1612757544,14,17
1612759463,23,8
1612761421,13,16
1612764315,20,12
1612766193,18,12
1612768343,25,12
1612771317,18,33
1612773147,22,0
1612775091,21,17
1612777007,13,0
1612780174,20,28
1612783957,14,28
1612785927,8,0
1612788786,14,30
1612790679,15,4
1612793576,27,0
1612795467,14,17
1612797391,14,11
1612799322,15,13
1612801228,15,18
1612803141,20,0
1612805096,14,10
1612807981,17,7
1612810793,18,9
1612813003,11,19
1612814914,16,14
1612816861,12,17
1612818756,16,19
1612820643,14,17
1612822613,11,13
1612824547,21,0
1612826454,26,15
1612828369,12,12
1612831235,20,27
1612833178,12,5
1612835161,10,12
1612836997,19,16
1612839782,19,10
1612842337,15,13
1612844167,17,20
1612846367,22,14
1612848284,13,36
1612850212,22,20
1612852100,20,0
1612854033,22,17
1612856039,15,18
1612857893,16,13
1612859820,13,21
1612861719,28,0
1612864612,12,31
1612866524,20,22
1612869440,26,16
1612871311,19,14
1612874179,15,32
1612876134,17,22
1612879021,10,14
1612880900,16,12
1612882862,23,14
1612884786,12,10
1612886681,16,15
1612888645,14,10
1612890524,9,17
1612892435,13,14
1612895311,15,11
1612898218,12,8
1612900125,10,11
1612902074,11,6
1612905182,11,24
1612907101,11,10
1612909014,13,12
1612912870,21,23
1612914742,18,13
1612916695,17,10
1612918622,18,14
1612920534,14,15
1612922416,21,13
1612925286,16,16
1612927280,10,15
1612929151,14,14
1612931064,11,14
1612933024,14,16
1612934922,11,14
1612936831,12,11
1612938766,11,14
1612940684,14,15
1612942581,18,22
1612944537,13,0
1612947414,20,13
1612949311,16,19
1612951233,14,13
1612953171,24,19
1612957939,23,38
1612960824,21,37
1612962789,21,25
1612964686,18,14
1612966584,24,17
1612968562,25,11
1612970431,15,23
1612973819,24,10
1612975716,25,16
1612977660,24,10
1612979583,15,6
1612982530,20,11
1612985345,16,5
1612987236,23,0
1612989206,11,13
1612991077,11,6
1612993041,11,0
1612994922,15,13
1612996878,13,13
1612998743,18,12
1613000667,18,9
1613002581,18,12
1613004530,19,7
1613006443,21,9
1613008382,21,15
1613010311,19,4
1613012224,20,10
1613014100,15,15
1613016081,17,8
1613017942,18,11
1613019923,14,13
1613022737,19,26
1613024728,32,16
1613026580,28,16
1613028507,21,16
1613030542,23,13
1613032602,24,16
1613034505,21,20
1613036420,22,21
1613038369,10,20
1613040305,18,9
1613044176,14,24
1613046006,14,21
1613047958,15,10
1613049903,15,12
1613052776,20,14
1613054685,12,18
1613057571,20,29
1613059515,19,9
1613062376,15,11
1613064280,15,17
1613066175,13,8
1613068139,28,18
1613070021,21,7
1613071946,8,8
1613073936,20,10
1613075827,12,11
1613077701,14,19
1613079697,11,13
1613081560,9,16
1613083466,15,0
1613085423,18,0
1613087331,12,24
1613089248,16,16
1613091212,19,8
1613093065,16,14
1613094995,15,15
1613096957,17,10
1613098843,12,21
1613100760,11,12
1613102729,14,17
1613104584,16,14
1613106741,14,13
1613108687,14,15
1613110603,25,11
1613112729,18,17
1613114668,20,17
1613116663,9,20
1613118496,14,27
1613120472,21,26
1613122327,22,21
1613125272,6,15
1613127136,13,0
1613130034,17,36
1613131954,12,14
1613133902,19,0
1613135788,17,12
1613138947,15,10
1613140824,22,19
1613142758,19,18
1613144714,14,12
1613147574,17,0
1613149477,18,13
1613151406,21,11
1613153312,14,14
1613155241,10,0
1613157209,18,12
1613159092,10,4
1613161017,13,12
1613162911,13,14
1613164836,13,20
1613166768,17,6
1613168659,10,13
1613170899,9,9
1613172749,20,18
1613174734,21,13
1613176570,17,11
1613178745,15,0
1613180659,16,13
1613182612,15,21
1613184508,22,8
1613186445,9,11
1613188384,19,21
1613190267,24,16
1613192196,16,18
1613194168,15,0
1613196105,18,5
1613198919,16,25
1613201780,10,14
1613203967,17,29
1613205867,18,10
1613207815,13,16
1613209699,13,0
1613211657,18,24
1613216423,14,14
1613218352,14,0
1613220307,12,16
1613224124,18,32
1613226049,11,20
1613227946,22,18
1613229861,24,16
1613231817,13,17
1613233717,18,15
1613235662,21,0
1613237598,18,11
1613239494,21,8
1613241437,17,8
1613243316,12,17
1613245738,14,21
1613247637,11,14
1613249549,12,14
1613251583,13,7
1613253679,11,12
1613255542,18,13
1613257715,6,16
1613259659,19,17
1613261564,20,15
1613263547,15,0
1613265390,8,7
1613267326,14,16
1613269269,17,10
1613271142,20,15
1613273086,18,23
1613275021,16,13
1613276909,17,16
1613278844,20,0
1613280780,17,19
1613282675,13,6
1613284575,14,11
1613286533,18,18
1613288417,20,16
1613290362,27,18
1613292283,23,12
1613294166,23,17
1613296088,16,13
1613298053,9,12
1613299931,12,18
1613301875,22,27
1613304781,13,12
1613306708,17,23
1613308596,13,9
1613310549,10,10
1613313422,13,14
1613315295,15,8
1613318202,20,28
1613320129,12,0
1613322071,23,16
1613323952,20,0
1613326828,11,23
1613328739,17,12
1613330701,13,22
1613332597,16,0
1613335464,9,18
1613337398,17,0
1613341498,17,34
1613343386,17,18
1613345303,9,13
1613347292,15,11
1613349151,17,12
1613351066,10,19
1613353032,14,13
1613354940,18,0
1613356817,10,0
1613358808,13,15
1613360673,19,18
1613363549,16,10
1613365478,12,24
1613369298,14,36
1613371235,10,18
1613373171,11,24
1613375060,11,0
1613377004,13,20
1613380827,17,37
1613383061,16,13
1613387111,17,16
1613389957,13,9
1613391970,15,14
1613394149,24,13
1613396212,16,13
1613398397,8,27
1613400268,18,0
1613402196,25,31
1613404130,20,16
1613406017,24,0
1613408909,25,32
1613412772,14,19
1613414701,18,13
1613416603,10,10
1613418746,16,15
1613420681,10,10
1613422578,12,11
1613424538,13,15
1613426429,15,18
1613429551,11,38
1613432426,15,21
1613434376,12,18
1613436267,13,22
1613438664,14,14
1613440845,20,13
1613442883,18,19
1613445836,26,20
1613447778,14,18
1613449718,19,16
1613451665,21,21
1613454538,19,11
1613456466,17,18
1613458327,18,19
1613462215,15,35
1613464100,13,22
1613466048,11,18
1613467951,25,26
1613470820,21,13
1613472775,11,23
1613474688,25,16
