DateTime,AddedIPs,RemovedIPs
1612988173,75,65
1612989877,20,15
1612990203,83,112
1612991763,12,20
1612992466,55,66
1612993717,67,89
1612994479,52,35
1612995601,10,8
1612996203,79,50
1612997554,8,5
1612998078,67,83
1612999445,10,14
1612999633,253,0
1613000044,111,139
1613001365,18,11
1613001687,33,36
1613003287,315,55
1613004386,44,108
1613005253,10,13
1613007124,10,12
1613007249,124,133
1613009055,11,3
1613010688,133,52
1613011000,12,19
1613011587,24,66
1613012887,67,37
1613013905,74,80
1613014805,11,12
1613015403,61,136
1613016756,5,14
1613018049,136,171
1613018646,12,13
1613019691,66,27
1613020563,10,6
1613021104,86,51
1613021643,25,80
1613022517,9,8
1613024403,5,9
1613025243,168,240
1613026324,11,8
1613026587,56,31
1613028280,10,17
1613028688,59,70
1613028843,102,98
1613030164,14,12
1613032084,7,20
1613032444,148,276
1613034046,9,14
1613034091,62,40
1613035926,86,91
1613036044,32,90
1613037854,8,7
1613039798,9,7
1613040387,158,194
1613041688,88,586
1613042259,54,3
1613043603,11,18
1613043989,58,81
1613045557,242,0
1613046092,114,106
1613047445,14,7
1613047589,51,432
1613049364,18,20
1613049396,49,83
1613050443,82,112
1613051320,13,10
1613052956,764,0
1613053204,12,4
1613054044,443,193
1613055127,22,11
1613055650,106,42
1613057080,266,13
1613057452,271,94
1613058964,13,10
1613059817,199,208
1613060920,13,6
1613061281,111,74
1613062816,10,10
1613063002,87,109
1613064134,0,253
1613064724,11,7
1613064843,98,84
1613066690,10,9
1613067903,123,106
1613068570,12,4
1613069162,25,77
1613070486,114,98
1613070964,0,256
1613072043,86,90
1613072440,15,16
1613074330,54,30
1613075103,76,62
1613076248,24,74
1613077548,69,88
1613078200,12,18
1613079246,70,70
1613080083,8,6
1613080873,71,77
1613082002,13,9
1613082303,52,3
1613082843,21,67
1613083958,11,10
1613084801,73,76
1613085848,10,15
1613086452,54,79
1613087766,17,10
1613089723,307,71
1613090043,20,75
1613091632,9,12
1613092109,260,74
1613093524,8,10
1613093644,53,62
1613095491,9,7
1613097366,4,9
1613097985,114,184
1613099284,9,7
1613099703,71,64
1613101241,7,10
1613101586,51,78
1613103127,7,8
1613103904,117,88
1613105050,6,9
1613107003,90,192
1613108045,63,83
1613108883,6,6
1613110840,10,6
1613111487,98,78
1613112728,64,170
1613114667,62,72
1613115245,111,78
1613116662,12,11
1613117467,52,27
1613118495,11,8
1613118686,53,83
1613119586,65,139
1613120471,17,19
1613121303,51,95
1613122326,6,10
1613123187,62,168
1613124346,11,8
1613124749,72,61
1613126163,11,11
1613127004,97,116
1613128123,6,464
1613128765,67,87
1613130033,13,15
1613130385,58,82
1613131953,217,0
1613133086,114,115
1613133901,7,10
1613135786,123,145
1613135851,505,0
1613136848,118,85
1613137719,9,7
1613139639,7,9
1613140251,99,104
1613140394,59,76
1613141528,13,10
1613142054,66,94
1613143449,14,11
1613143856,55,5
1613145401,8,7
1613145657,84,152
1613146797,113,315
1613147283,13,8
1613147644,49,90
1613149215,9,6
1613150480,103,79
1613151127,12,7
1613151243,79,66
1613153310,96,82
1613154666,74,0
1613155239,15,12
1613155566,76,131
1613156467,0,255
1613157207,11,8
1613157413,109,68
1613158202,0,256
1613159090,14,11
1613159168,44,81
1613160437,145,97
1613161015,13,8
1613162909,9,8
1613163674,114,104
1613164834,109,60
1613165124,255,0
1613165644,48,71
1613166766,8,14
1613168657,21,5
1613168740,111,92
1613169245,53,71
1613170897,18,14
1613171870,135,75
1613172749,12,7
1613172843,69,66
1613174734,183,0
1613175389,64,69
1613176293,316,4
1613176570,6,8
1613177404,114,97
1613178745,14,10
1613179124,83,53
1613180047,43,77
1613180659,8,5
1613182612,10,9
1613183104,142,71
1613183646,30,78
1613184507,10,8
1613185516,44,28
1613186444,12,8
1613187094,76,53
1613187244,39,70
1613188383,15,8
1613190267,112,106
1613190845,71,87
1613192195,6,7
1613193101,72,80
1613194167,7,4
1613194295,37,0
1613196104,58,116
1613197957,91,53
1613198044,71,132
1613199891,9,5
1613200870,131,78
1613201780,10,14
1613202394,46,72
1613203966,7,7
1613204103,152,76
1613205866,7,9
1613205993,55,91
1613206894,74,29
1613207813,7,7
1613208116,86,61
1613209698,10,11
1613209792,101,110
1613211656,8,5
1613212451,150,162
1613213558,10,5
1613213723,68,25
1613215444,11,467
1613215893,112,61
1613216044,24,74
1613217397,21,7
1613218942,86,90
1613219288,218,0
1613219644,87,69
1613221305,9,7
1613222303,510,750
1613223159,11,9
1613223244,156,199
1613225065,12,8
1613225963,68,24
1613226657,47,95
1613226968,8,8
1613227558,50,249
1613228920,8,11
1613230808,179,249
1613232725,9,10
1613234044,118,202
1613234680,9,5
1613235668,71,91
1613236566,9,9
1613236567,0,255
1613237103,70,9
1613237892,280,71
1613238484,4,8
1613240405,6,10
1613241073,345,97
1613241247,51,90
1613242328,8,12
1613244279,14,8
1613245578,107,95
1613246169,60,114
1613247650,80,42
1613248085,11,9
1613248445,29,70
1613250051,4,15
1613251925,15,7
1613251929,129,91
1613254100,42,165
1613254589,46,55
1613256006,5,12
1613256391,63,58
1613257292,33,20
1613258205,9,10
1613259118,90,44
1613259245,19,56
1613260088,7,6
1613261320,89,61
1613262045,213,0
1613263929,13,7
1613265847,12,7
1613266756,147,128
1613267805,59,87
1613269687,9,11
1613270045,79,110
1613271615,8,7
1613272898,90,62
1613273563,8,10
1613273646,23,68
1613275457,11,3
1613276132,87,70
1613277368,8,12
1613277999,40,69
1613279325,10,5
1613279702,68,71
1613281207,14,11
1613281602,39,0
1613281805,32,89
1613283126,6,10
1613284444,76,161
1613285083,4,14
1613286967,12,10
1613288045,149,136
1613288886,3,18
1613290840,10,12
1613291645,228,124
1613292726,5,11
1613293551,94,74
1613294646,4,7
1613295244,89,86
1613296600,7,9
1613297194,93,77
1613298487,7,16
1613298702,45,0
1613300417,100,634
1613301575,111,49
1613302365,10,24
1613302443,37,80
1613304257,294,0
1613305261,35,27
1613305503,69,56
1613306164,14,16
1613306801,18,109
1613308124,10,15
1613308813,86,837
1613310006,3,12
1613310401,40,80
1613311302,44,23
1613311961,6,13
1613312595,509,0
1613313003,52,56
1613313846,4,6
1613313960,48,76
1613315129,408,118
1613315765,32,13
1613317720,234,9
1613319135,353,170
1613319604,32,11
1613320444,123,100
1613321525,15,16
1613323486,151,110
1613324046,62,92
1613325365,17,10
1613327284,25,13
1613328373,241,123
1613329254,32,8
1613329271,139,283
1613330353,178,70
1613330864,0,256
1613331126,24,10
1613331730,115,117
1613332928,28,14
1613333368,105,67
1613335000,17,20
1613335580,64,91
1613336894,28,10
1613337122,119,85
1613338802,22,10
1613339187,102,76
1613340758,22,21
1613342044,250,173
1613342643,9,13
1613344561,18,24
1613346518,188,113
1613347302,61,146
1613348407,303,0
1613349243,158,142
1613350325,25,18
1613352284,159,88
1613353676,92,120
1613354164,15,16
1613355423,80,48
1613356084,7,8
1613356446,39,73
1613358049,13,11
1613358380,76,94
1613359924,10,13
1613360047,76,73
1613361855,21,13
1613363799,23,14
1613364397,123,75
1613365687,33,11
1613366494,172,137
1613367610,90,114
1613369558,26,14
1613369813,120,72
1613371443,28,8
1613371803,123,107
1613373361,22,11
1613374298,105,72
1613375320,12,13
1613376099,74,129
1613377206,91,74
1613378044,91,107
1613379123,7,15
1613379861,92,106
1613381078,10,7
1613381644,95,83
1613383059,11,16
1613384104,100,99
1613385143,10,19
1613387109,110,597
1613387898,61,60
1613389030,11,10
1613389147,62,88
1613390882,220,0
1613391303,0,16016
1613392709,99,101
1613392918,16003,0
1613394755,16,13
1613395128,78,101
1613396647,9,6
1613396703,45,92
1613397924,42,834
1613398564,8,13
1613399403,506,0
1613400516,16,9
1613401254,138,102
1613402403,9,6
1613403244,193,123
1613404322,11,8
1613404556,36,0
1613406276,9,10
1613406660,66,88
1613407132,183,87
1613408165,16,10
1613410119,330,82
1613410444,27,60
1613412011,17,13
1613412072,39,32
1613413360,50,50
1613413954,25,8
1613415849,98,80
1613417220,0,254
1613417761,30,6
1613418370,70,79
1613419006,72,95
1613419716,24,5
1613421621,23,13
1613421972,209,65
1613422204,52,103
1613423525,22,10
1613424844,105,125
1613425445,21,3
1613426486,57,27
1613427362,19,12
1613429319,16,9
1613429405,124,141
1613431202,16,6
1613432175,83,150
1613433351,23,13
1613434594,79,60
1613436015,194,0
1613436387,42,92
1613438664,18,15
1613439090,92,35
1613440845,10,8
1613440969,77,122
1613442883,10,11
1613442973,72,63
1613444725,5,8
