DateTime,Entries,UniqueIPs
1612912323,2279,2326
1612913524,2280,2327
1612914724,2280,2327
1612917723,2279,2326
1612918323,2275,2322
1612920725,2275,2322
1612921924,2256,2303
1612923124,2257,2304
1612924924,2251,2298
1612926124,2252,2299
1612926724,2251,2298
1612927324,2250,2297
1612928524,2249,2296
1612929724,2248,2295
1612930324,2249,2296
1612931524,2246,2292
1612933324,2249,2296
1612934524,2250,2297
1612936323,2251,2299
1612936924,2251,2299
1612939324,2249,2297
1612940524,2249,2297
1612941124,2249,2298
1612942324,2248,2297
1612944124,2250,2299
1612945324,2247,2296
1612946524,2245,2294
1612947124,2241,2290
1612948324,2240,2289
1612949525,2242,2292
1612950724,2243,2293
1612951924,2241,2291
1612953124,2243,2293
1612954924,2244,2294
1612955524,2242,2292
1612956724,2246,2296
1612957324,2246,2296
1612958523,2247,2297
1612959124,2244,2294
1612960924,2247,2297
1612962123,2246,2296
1612963924,2247,2297
1612964524,2247,2298
1612966324,2249,2300
1612967524,2251,2302
1612968724,2251,2302
1612969923,2253,2304
1612971124,2250,2300
1612971724,2251,2301
1612972924,2249,2298
1612975323,2251,2300
1612976524,2250,2299
1612977723,2251,2300
1612978324,2247,2296
1612979524,2248,2296
1612980723,2249,2297
1612981324,2248,2296
1612982523,2245,2293
1612983723,2248,2296
1612984324,2247,2295
1612984923,2248,2296
1612986123,2247,2294
1612989124,2244,2291
1612990923,2243,2290
1612992124,2246,2293
1612993324,2244,2291
1612993923,2239,2286
1612995123,2238,2286
1612996324,2240,2288
1612996924,2250,2300
1612998123,2250,2300
1612999324,2249,2299
1613000523,2250,2300
1613001723,2248,2296
1613002324,2243,2291
1613003524,2252,2309
1613004723,2249,2306
1613005924,2248,2305
1613008924,2245,2302
1613010724,2242,2299
1613011323,2244,2301
1613011924,2243,2300
1613013724,2240,2297
1613015523,2239,2296
1613016724,2238,2295
1613018523,2239,2296
1613019724,2238,2295
1613020324,2236,2292
1613022123,2238,2294
1613023324,2235,2291
1613023924,2231,2287
1613025723,2236,2292
1613026924,2233,2290
1613027523,2232,2289
1613028724,2230,2287
1613030524,2229,2286
1613031123,2227,2284
1613034123,2222,2279
1613035323,2222,2279
1613037123,2216,2273
1613038323,2210,2266
1613040124,2209,2265
1613040723,2205,2261
1613041324,2203,2257
1613042524,2206,2260
1613043724,2205,2259
1613044324,2205,2258
1613046123,2205,2258
1613047324,2204,2257
1613047924,2205,2258
1613048524,2206,2259
1613050324,2201,2253
1613051523,2203,2255
1613052723,2206,2258
1613053323,2203,2255
1613054524,2200,2251
1613055724,2198,2249
1613056323,2197,2248
1613056923,2200,2251
1613057524,2201,2252
1613058123,2196,2247
1613059323,2194,2245
1613059924,2196,2247
1613061124,2189,2240
1613061724,2185,2236
1613062924,2186,2237
1613064724,2187,2238
1613065923,2188,2239
1613067123,2187,2238
1613068924,2189,2240
1613069523,2190,2241
1613072524,2192,2243
1613074324,2194,2245
1613075524,2192,2242
1613076124,2194,2244
1613077323,2193,2243
1613077924,2194,2244
1613078523,2195,2244
1613080324,2192,2241
1613082124,2195,2244
1613082724,2195,2244
1613083323,2195,2243
1613084523,2198,2246
1613086324,2196,2244
1613086924,2193,2241
1613088124,2195,2243
1613088723,2196,2244
1613089923,2193,2241
1613091123,2190,2238
1613092323,2189,2237
1613093525,2187,2235
1613094123,2188,2236
1613095324,2187,2235
1613097724,2185,2233
1613098924,2185,2233
1613099523,2186,2234
1613100123,2185,2233
1613100724,2180,2228
1613101323,2181,2229
1613102524,2184,2232
1613103723,2179,2227
1613104924,2167,2215
1613106124,2172,2220
1613106723,2172,2220
1613108524,2167,2215
1613109724,2167,2215
1613110324,2165,2213
1613110924,2159,2207
1613111524,2162,2210
1613113323,2160,2208
1613114523,2161,2208
1613115724,2155,2201
1613116924,2158,2204
1613117524,2159,2205
1613118725,2157,2204
1613119924,2165,2213
1613121724,2164,2212
1613122924,2167,2215
1613124124,2167,2215
1613124724,2168,2216
1613126524,2164,2212
1613127123,2164,2212
1613128324,2163,2211
1613128924,2162,2210
1613130123,2163,2211
1613130723,2164,2212
1613131324,2162,2210
1613132524,2162,2209
1613133724,2164,2212
1613134323,2165,2213
1613135524,2164,2212
1613137324,2165,2213
1613137923,2162,2210
1613139124,2163,2211
1613140923,2164,2212
1613141523,2166,2214
1613142723,2167,2215
1613143324,2163,2211
1613144524,2164,2212
1613145124,2159,2207
1613146324,2150,2198
1613146924,2136,2184
1613148123,2136,2184
1613149323,2136,2184
1613150524,2137,2185
1613151723,2173,2221
1613152924,2171,2219
1613154123,2173,2220
1613155924,2171,2218
1613157124,2170,2217
1613158924,2173,2220
1613160124,2175,2222
1613160724,2172,2217
1613161925,2174,2219
1613162523,2143,2187
1613163724,2137,2181
1613164924,2136,2180
1613166124,2138,2182
1613167323,2150,2194
1613168524,2148,2191
1613169724,2149,2192
1613172123,2149,2192
1613173324,2150,2192
1613174524,2147,2189
1613175124,2146,2188
1613176923,2148,2189
1613177524,2146,2187
1613178724,2141,2182
1613179924,2143,2184
1613181124,2146,2187
1613181724,2147,2188
1613182324,2148,2189
1613184124,2147,2188
1613185924,2147,2188
1613186524,2148,2189
1613187723,2147,2187
1613188924,2148,2188
1613189524,2148,2188
1613191324,2151,2191
1613192524,2147,2187
1613194324,2142,2181
1613195524,2140,2179
1613196724,2142,2181
1613197925,2142,2181
1613199124,2138,2177
1613200924,2138,2177
1613202124,2138,2177
1613203924,2139,2176
1613204523,2138,2175
1613205723,2141,2179
1613206924,2140,2178
1613208123,2139,2177
1613209324,2141,2179
1613209924,2137,2175
1613210524,2139,2176
1613211724,2140,2177
1613212324,2137,2174
1613212924,2134,2171
1613214124,2137,2174
1613214724,2134,2171
1613215924,2133,2170
1613217724,2130,2167
1613218324,2130,2166
1613218924,2131,2167
1613221324,2133,2169
1613222524,2132,2168
1613224924,2132,2168
1613226125,2132,2168
1613227324,2131,2167
1613228524,2132,2169
1613229724,2131,2168
1613230325,2127,2164
1613231524,2128,2165
1613232724,2130,2167
1613233324,2129,2166
1613233924,2130,2167
1613234524,2133,2170
1613235124,2129,2166
1613236324,2131,2168
1613237525,2125,2162
1613238124,2121,2158
1613238723,2122,2159
1613239324,2122,2159
1613239924,2123,2160
1613241125,2141,2177
